name,facebook,twitter,website,genre,mtv
 Adele ,http://www.facebook.com/9770929278,http://www.twitter.com/officialadele,,Pop,http://www.mtv.com/artists/adele/biography
 Joey + Rory ,http://www.facebook.com/15044507815,http://www.twitter.com/joeyandrory,,Country,http://www.cmt.com/artists/joey-rory/biography
 Draaco Aventura ,http://www.facebook.com/856796091053581,http://www.twitter.com/DraacoAventura,http://www.bandpage.com/draacoaventura,Pop Latino,http://www.mtv.com/artists/draaco-aventura/biography
 Justin Bieber ,http://www.facebook.com/309570926875,http://www.twitter.com/justinbieber,http://www.justinbiebermusic.com,Pop,http://www.mtv.com/artists/justin-bieber/biography
 Peer van Mladen ,http://www.facebook.com/264487966,http://www.twitter.com/Predrag_Jugovic,http://pejaintergroup.eu/Peer_van_Mladen.html,House,http://www.mtv.com/artists/peer-van-mladen/biography
 Chris Janson ,http://www.facebook.com/296647641825,http://www.twitter.com/janson_chris,http://www.chrisjanson.com,Country,http://www.cmt.com/artists/chris-janson/biography
 One Direction ,http://www.facebook.com/121930497861753,http://www.twitter.com/onedirection,http://www.onedirectionmusic.com/,Pop,http://www.mtv.com/artists/one-direction/biography
 Drake ,http://www.facebook.com/83711079303,http://www.twitter.com/drake,http://www.drizzydrake.org/,Hip-Hop/Rap,http://www.mtv.com/artists/drake/biography
 Carrie Underwood ,http://www.facebook.com/5240049567,http://www.twitter.com/carrieunderwood,http://carrieunderwoodofficial.com,Country,http://www.cmt.com/artists/carrie-underwood/biography
 Ed Sheeran ,http://www.facebook.com/9189674485,http://www.twitter.com/edsheeran,http://www.edsheeran.com/,Singer/Songwriter,http://www.mtv.com/artists/ed-sheeran/biography
 Taylor Swift ,http://www.facebook.com/19614945368,http://www.twitter.com/taylorswift13,http://www.TaylorSwift.com,Pop,http://www.mtv.com/artists/taylor-swift/biography
 SayWeCanFly ,,,,Pop/Rock,http://www.mtv.com/artists/saywecanfly/biography
 Selena Gomez ,http://www.facebook.com/7961985974,http://www.twitter.com/selenagomez,,Pop,http://www.mtv.com/artists/selena-gomez/biography
 Chris Brown ,http://www.facebook.com/6329881653,http://www.twitter.com/chrisbrown,http://www.chrisbrownworld.com,Pop,http://www.mtv.com/artists/chris-brown/biography
 Nicki Minaj ,http://www.facebook.com/150024648352527,http://www.twitter.com/nickiminaj,http://www.MyPinkFriday.com,Hip-Hop,http://www.mtv.com/artists/nicki-minaj/biography
 Fifth Harmony ,http://www.facebook.com/173362709468415,http://www.twitter.com/fifthharmony,http://www.fifthharmonyofficial.com/home,Pop,http://www.mtv.com/artists/fifth-harmony/biography
 Thomas Rhett  ,http://www.facebook.com/198584476850615,http://www.twitter.com/thomasrhett,http://www.thomasrhett.com,Contemporary Country,http://www.cmt.com/artists/thomas-rhett/biography
 Eminem ,http://www.facebook.com/45309870078,http://www.twitter.com/eminem,http://www.eminem.com,Rap,http://www.mtv.com/artists/eminem/biography
 Beyoncé ,http://www.facebook.com/28940545600,http://www.twitter.com/beyonce,http://beyonceonline.com,Pop,http://www.mtv.com/artists/beyonce/biography
 Meghan Trainor ,,,,,http://www.mtv.com/artists/meghan-trainor/biography
 Twenty One Pilots ,http://www.facebook.com/98049191147,http://www.twitter.com/twentyonepilots,http://www.twentyonepilots.com,Alternative,http://www.mtv.com/artists/twenty-one-pilots/biography
 Fetty Wap ,http://www.facebook.com/Fettywap1738,http://www.twitter.com/fettywap,,Hip-Hop,http://www.mtv.com/artists/fetty-wap/biography
 5 Seconds Of Summer ,http://www.facebook.com/176437022408772,http://www.twitter.com/5sos,http://www.5sos.com,Pop/Rock,http://www.mtv.com/artists/5-seconds-of-summer/biography
 Jason Aldean ,http://www.facebook.com/84907212117,http://www.twitter.com/jason_aldean,http://www.JasonAldean.com,Country,http://www.cmt.com/artists/jason-aldean/biography
 Luke Bryan ,http://www.facebook.com/7290301030,http://www.twitter.com/lukebryanonline,http://www.lukebryan.com,Contemporary Country,http://www.cmt.com/artists/luke-bryan/biography
 Blake Shelton ,http://www.facebook.com/5842919894,http://www.twitter.com/blakeshelton,http://www.blakeshelton.com,Country,http://www.cmt.com/artists/blake-shelton/biography
 Rihanna ,http://www.facebook.com/10092511675,http://www.twitter.com/rihanna,http://www.rihannanow.com,Pop,http://www.mtv.com/artists/rihanna/biography
 Elvis Presley ,http://www.facebook.com/19838724152,http://twitter.com/ElvisPresley,http://www.elvisthemusic.com,Rock,http://www.mtv.com/artists/elvis-presley/biography
 Ariana Grande ,http://www.facebook.com/12384211026,http://www.twitter.com/arianagrande,http://www.arianagrande.com/,Pop,http://www.mtv.com/artists/ariana-grande/biography
 JD Shelburne ,http://www.facebook.com/48111189581,http://www.twitter.com/JDSHELBURNE,http://www.jdshelburne.com,Country,http://www.cmt.com/artists/jd-shelburne/biography
 Lil Wayne ,http://www.facebook.com/LilWayne,https://twitter.com/LilTunechi,http://www.youngmoney.com/,Hip-Hop/Rap,http://www.mtv.com/artists/lil-wayne/biography
 Demi Lovato ,http://www.facebook.com/9208539755,http://www.twitter.com/ddlovato,http://www.demilovato.com,Pop,http://www.mtv.com/artists/demi-lovato/biography
 Maroon 5 ,http://www.facebook.com/5330548481,http://www.twitter.com/maroon5,http://www.maroon5.com,Pop/Rock,http://www.mtv.com/artists/maroon-5/biography
 Sam Hunt ,,,,,http://www.cmt.com/artists/sam-hunt/biography
 George Strait ,http://www.facebook.com/6863600905,http://www.twitter.com/georgestrait,http://www.georgestrait.com,Country,http://www.cmt.com/artists/george-strait/biography
 Wiz Khalifa ,http://www.facebook.com/12138756141,http://www.twitter.com/wizkhalifa,http://wizkhalifa.com,Hip-Hop/Rap,http://www.mtv.com/artists/wiz-khalifa/biography
 Miranda Lambert ,http://www.facebook.com/5764270741,http://www.twitter.com/mirandalambert,http://www.mirandalambert.com,Country,http://www.cmt.com/artists/miranda-lambert/biography
 DJ Khaled ,http://www.facebook.com/605083229565089,http://www.twitter.com/djkhaled,,Hip-Hop,http://www.mtv.com/artists/dj-khaled/biography
 Porno for Pyros ,,,,Rock,http://www.mtv.com/artists/porno-for-pyros/biography
 Katy Perry ,http://www.facebook.com/7126051465,http://www.twitter.com/katyperry,http://www.katyperry.com/,Pop,http://www.mtv.com/artists/katy-perry/biography
 Miley Cyrus ,http://www.facebook.com/5845317146,http://www.twitter.com/mileycyrus,http://www.mileycyrus.com,Pop,http://www.mtv.com/artists/miley-cyrus/biography
 Tim McGraw ,http://www.facebook.com/121643328009133,http://www.twitter.com/tim_hwang,http://www.timmcgraw.com,Country,http://www.cmt.com/artists/tim-mcgraw/biography
 The Weeknd ,http://www.facebook.com/200394249984402,http://www.twitter.com/theweeknd,http://theweeknd.com,R&B/Soul,http://www.mtv.com/artists/the-weeknd/biography
 Macklemore & Ryan Lewis ,http://www.facebook.com/162208193853675,http://www.twitter.com/http://www.macklemore.com,http://www.macklemore.com,Hip-Hop,http://www.mtv.com/artists/macklemore-and-ryan-lewis/biography
 Ellie Goulding ,http://www.facebook.com/135027136641,http://www.twitter.com/elliegoulding,http://www.elliegoulding.com,Pop,http://www.mtv.com/artists/ellie-goulding/biography
 Michael Jackson ,http://www.facebook.com/19691681472,http://www.twitter.com/michaeljackson,http://www.michaeljackson.com/,Pop,http://www.mtv.com/artists/michael-jackson/biography
 Rascal Flatts ,http://www.facebook.com/35346978792,http://www.twitter.com/rascalflatts,http://www.RascalFlatts.com,Country,http://www.cmt.com/artists/rascal-flatts/biography
 Britney Spears ,http://www.facebook.com/39677118233,http://www.twitter.com/britneyspears,http://britneyspears.com/,Pop,http://www.mtv.com/artists/britney-spears/biography
 Zac Brown Band ,http://www.facebook.com/zacbrownband,http://twitter.com/zacbrownband,http://www.zacbrownband.com,Country,http://www.cmt.com/artists/zac-brown-band/biography
 Hearty2Raw ,http://www.facebook.com/16418687463,http://www.twitter.com/HEARTY2RAW,https://soundcloud.com/hearty2raw/whole-lotta,Hip-Hop/Rap,http://www.mtv.com/artists/hearty2raw/biography
 Future ,http://www.facebook.com/282106645148368,http://www.twitter.com/1future,http://www.futurefreebandz.com,Hip-Hop/Rap,http://www.mtv.com/artists/future/biography
 Lady Antebellum ,http://www.facebook.com/6611987594,http://www.twitter.com/ladyantebellum,http://www.ladyantebellum.com,Country,http://www.cmt.com/artists/lady-antebellum/biography
 Adam Levine ,http://www.facebook.com/pages/Adam-Levine/157538101063819,https://twitter.com/adamlevine,,Alternative,http://www.mtv.com/artists/adam-levine/biography
 Janet Jackson ,,,http://www.janet-jackson.com/,R&B/Soul,http://www.mtv.com/artists/janet-jackson/biography
 Keith Urban ,http://www.facebook.com/7890746076,http://www.twitter.com/keithurban,http://www.KeithUrban.net,Country,http://www.cmt.com/artists/keith-urban/biography
 Sam Smith ,,,,,http://www.mtv.com/artists/sam-smith/biography
 Jason Derulo ,http://www.facebook.com/93944052260,http://www.twitter.com/jasonderulo,,Pop,http://www.mtv.com/artists/jason-derulo/biography
 Tori Kelly ,http://www.facebook.com/34703638602,http://www.twitter.com/torikelly,http://www.torikellymusic.com,Pop/Rock,http://www.mtv.com/artists/tori-kelly/biography
 2Pac ,http://www.facebook.com/102518413135163,http://www.twitter.com/tupacshakurpage,http://www.2pac.com,Gangsta Rap,http://www.mtv.com/artists/2pac/biography
 Ciara ,http://www.facebook.com/6571279986,http://www.twitter.com/ciara,http://www.onlyciara.com,Pop,http://www.mtv.com/artists/ciara/biography
 Old Dominion ,http://www.facebook.com/242687829105290,http://www.twitter.com/OldDominion,http://www.olddominionband.com,Country,http://www.cmt.com/artists/old-dominion/biography
 Randy Houser ,http://www.facebook.com/49064345453,http://www.twitter.com/randyhouser,http://www.randyhouser.com,Country,http://www.cmt.com/artists/randy-houser/biography
 Eric Church ,http://www.facebook.com/5691713943,http://www.twitter.com/ericchurch,http://www.ericchurch.com,Country,http://www.cmt.com/artists/eric-church/biography
 Shakira ,http://www.facebook.com/5027904559,http://www.twitter.com/shakira,http://www.shakira.net/,World/International,http://www.mtv.com/artists/shakira/biography
 Bruno Mars ,,,,Pop/Rock,http://www.mtv.com/artists/bruno-mars/biography
 Little Big Town ,http://www.facebook.com/7154443676,http://www.twitter.com/littlebigtown,http://www.littlebigtown.com/,Country,http://www.cmt.com/artists/little-big-town/biography
 Rick Ross ,http://www.facebook.com/106672932712721,http://www.twitter.com/rickyrozay,http://www.godforgivesidont.com/,Hip-Hop/Rap,http://www.mtv.com/artists/rick-ross/biography
 Toby Keith ,http://www.facebook.com/9117107123,http://www.twitter.com/tobykeithmusic,http://www.tobykeith.com,Country,http://www.cmt.com/artists/toby-keith/biography
 Brian Collins ,,http://www.twitter.com/officialbcb,http://www.briancollinsmusic.com,Country,http://www.cmt.com/artists/brian-collins/biography
 Sia ,http://www.facebook.com/10959868407,http://www.twitter.com/sia,http://www.siamusic.net/,Pop,http://www.mtv.com/artists/sia/biography
 Dixie Chicks ,http://www.facebook.com/6799988759,http://www.twitter.com/dixiechicks,http://www.dixiechicks.com/,Country,http://www.cmt.com/artists/dixie-chicks/biography
 Kanye West ,http://www.facebook.com/kanyewest,http://www.twitter.com/kanyewest,http://kanyewest.com,Hip-Hop/Rap,http://www.mtv.com/artists/kanye-west/biography
 Shania Twain ,http://www.facebook.com/10340697654,http://www.twitter.com/shaniatwain,http://www.shaniatwain.com,Country,http://www.cmt.com/artists/shania-twain/biography
 Enrique Iglesias ,http://www.facebook.com/19061333123,http://www.twitter.com/enrique305,http://www.enriqueiglesias.com/registration/default.aspx?rtn=$default.aspx!&st=3,Pop,http://www.mtv.com/artists/enrique-iglesias/biography
 The Band Perry ,http://www.facebook.com/28815296015,http://www.twitter.com/thebandperry,,Country,http://www.cmt.com/artists/the-band-perry/biography
 Kellie Pickler ,http://www.facebook.com/27647017785,http://www.twitter.com/kelliepickler,http://www.kelliepickler.com,Country,http://www.cmt.com/artists/kellie-pickler/biography
 Randy Owen ,,,,Country,http://www.cmt.com/artists/randy-owen/biography
 Kelsea Ballerini ,,http://www.twitter.com/kelseaballerini,http://www.kelseaballerini.com/,Contemporary Country,http://www.cmt.com/artists/kelsea-ballerini/biography
 Lana Del Rey ,http://www.facebook.com/117713628271096,http://www.twitter.com/lanadelrey,http://www.lanadelrey.com,Alternative,http://www.mtv.com/artists/lana-del-rey/biography
 Freddie Mercury ,http://www.facebook.com/379937158753486,http://www.twitter.com/queenfreddie,http://queen-fip.com,Rock,http://www.mtv.com/artists/freddie-mercury/biography
 Martin Garrix ,http://www.facebook.com/martin.garrix,https://twitter.com/MartinGarrix,http://martingarrix.com,House,http://www.mtv.com/artists/martin-garrix/biography
 Brett Eldredge ,http://www.facebook.com/bretteldredge,http://www.twitter.com/http://www.bretteldredge.com,http://www.bretteldredge.com,Country,http://www.cmt.com/artists/brett-eldredge/biography
 Trey Songz ,http://www.facebook.com/11006459933,http://www.twitter.com/treysongz,http://treysongz.com,R&B/Soul,http://www.mtv.com/artists/trey-songz/biography
 Young Thug ,http://www.facebook.com/youngthugmusic,https://twitter.com/YoungThugWorld,,Hip-Hop,http://www.mtv.com/artists/young-thug/biography
 Mariah Carey ,http://www.facebook.com/6162457765,http://www.twitter.com/mariahcarey,http://mariahcarey.com,Pop,http://www.mtv.com/artists/mariah-carey/biography
 Jennifer Lopez ,http://www.facebook.com/5170395767,http://www.twitter.com/jlo,http://www.jenniferlopez.com/,Pop,http://www.mtv.com/artists/jennifer-lopez/biography
 Shawn Mendes ,,,http://store.shawnmendesofficial.com/,Rock,http://www.mtv.com/artists/shawn-mendes/biography
 Halsey ,,,http://iamhalsey.com,Alternative,http://www.mtv.com/artists/halsey/biography
 The XX ,http://www.facebook.com/10429446003,http://www.twitter.com/thexxers,,Indie Rock,http://www.mtv.com/artists/the-xx/biography
 Kurt Stevens ,http://www.facebook.com/1524192194462835,,https://www.youtube.com/channel/UCO3UMCzjlDIQfKNQYN5KKeA,Contemporary Country,http://www.mtv.com/artists/kurt-stevens/biography
 R. Kelly ,http://www.facebook.com/153213885830,http://www.twitter.com/rkelly,http://www.r-kelly.com,R&B/Soul,http://www.mtv.com/artists/r-kelly/biography
 50 Cent ,http://www.facebook.com/5769333796,http://www.twitter.com/50cent,http://www.50cent.com/,Hip-Hop/Rap,http://www.mtv.com/artists/50-cent/biography
 Kenny Chesney ,http://www.facebook.com/6070248875,http://www.twitter.com/kennychesney,http://kennychesney.com,Country,http://www.cmt.com/artists/kenny-chesney/biography
 Linkin Park ,http://www.facebook.com/8210451787,http://www.twitter.com/linkinpark,http://linkinpark.com,Alternative,http://www.mtv.com/artists/linkin-park/biography
 Akon ,http://www.facebook.com/16929140023,http://www.twitter.com/akon,http://www.akononline.com/,Hip-Hop/Rap,http://www.mtv.com/artists/akon/biography
 Avenged Sevenfold ,http://www.facebook.com/8308655582,http://www.twitter.com/theofficiala7x,http://avengedsevenfold.com,Hard Rock,http://www.mtv.com/artists/avenged-sevenfold/biography
